date,sex,ethnicity,abs,rate
2009-01-01,male,bumi_other,33860.0,20.5
2010-01-01,male,bumi_other,33190.0,19.5
2011-01-01,male,bumi_other,34782.0,20.1
2012-01-01,male,bumi_other,35629.0,20.3
2013-01-01,male,bumi_other,34442.0,19.3
2014-01-01,male,bumi_other,34783.0,19.2
2015-01-01,male,bumi_other,34257.0,18.6
2016-01-01,male,bumi_other,33207.0,17.8
2017-01-01,male,bumi_other,33122.0,17.5
2018-01-01,male,bumi_other,33180.0,17.3
2019-01-01,male,bumi_other,33178.0,17.1
2020-01-01,male,bumi_other,32009.0,17.0
2021-01-01,male,bumi_other,27151.0,14.7
2022-01-01,male,bumi_other,27463.0,14.8
2000-01-01,female,bumi_other,29366.0,23.2
2001-01-01,female,bumi_other,28872.0,22.2
2002-01-01,female,bumi_other,28529.0,21.4
2003-01-01,female,bumi_other,28185.0,20.6
2004-01-01,female,bumi_other,28861.0,20.5
2005-01-01,female,bumi_other,29277.0,20.3
2006-01-01,female,bumi_other,29016.0,19.6
2007-01-01,female,bumi_other,29217.0,19.2
2008-01-01,female,bumi_other,30307.0,19.4
2009-01-01,female,bumi_other,31721.0,19.7
2010-01-01,female,bumi_other,31320.0,18.9
2011-01-01,female,bumi_other,32647.0,19.4
2012-01-01,female,bumi_other,33002.0,19.3
2013-01-01,female,bumi_other,31687.0,18.2
2014-01-01,female,bumi_other,32645.0,18.5
2015-01-01,female,bumi_other,31793.0,17.7
2016-01-01,female,bumi_other,30770.0,16.9
2017-01-01,female,bumi_other,31061.0,16.9
2018-01-01,female,bumi_other,30896.0,16.6
2019-01-01,female,bumi_other,30449.0,16.1
2020-01-01,female,bumi_other,29495.0,16.0
2021-01-01,female,bumi_other,25369.0,14.0
2022-01-01,female,bumi_other,25465.0,14.0
2023-01-01,male,bumi_other,29999.0,16.0
2023-01-01,female,bumi_other,27609.0,15.0
2000-01-01,both,chinese,115429.0,20.0
2001-01-01,both,chinese,94035.0,16.1
2002-01-01,both,chinese,97712.0,16.5
2003-01-01,both,chinese,91828.0,15.3
2004-01-01,both,chinese,89239.0,14.7
2005-01-01,both,chinese,88577.0,14.5
2006-01-01,both,chinese,86195.0,13.9
2007-01-01,both,chinese,86853.0,13.9
2008-01-01,both,chinese,85567.0,13.6
2009-01-01,both,chinese,81079.0,12.7
2010-01-01,both,chinese,74068.0,11.5
2011-01-01,both,chinese,76642.0,11.8
2012-01-01,both,chinese,85419.0,13.1
2013-01-01,both,chinese,69561.0,10.6
2014-01-01,both,chinese,73887.0,11.2
2015-01-01,both,chinese,69985.0,10.6
2016-01-01,both,chinese,65574.0,9.9
2017-01-01,both,chinese,62094.0,9.3
2018-01-01,both,chinese,57766.0,8.6
2019-01-01,both,chinese,58078.0,8.7
2020-01-01,both,chinese,51287.0,7.4
2021-01-01,both,chinese,43833.0,6.4
2022-01-01,both,chinese,40249.0,5.9
2023-01-01,both,chinese,44818.0,6.5
2000-01-01,male,chinese,59829.0,20.3
2001-01-01,male,chinese,48845.0,16.3
2002-01-01,male,chinese,50724.0,16.7
2003-01-01,male,chinese,47739.0,15.5
2004-01-01,male,chinese,46294.0,14.9
2005-01-01,male,chinese,45751.0,14.5
2006-01-01,male,chinese,45031.0,14.1
2007-01-01,male,chinese,45067.0,14.0
2008-01-01,male,chinese,44262.0,13.6
2009-01-01,male,chinese,41663.0,12.7
2010-01-01,male,chinese,38503.0,11.6
2011-01-01,male,chinese,39767.0,11.9
2012-01-01,male,chinese,44342.0,13.2
2013-01-01,male,chinese,35918.0,10.6
2014-01-01,male,chinese,38197.0,11.3
2015-01-01,male,chinese,36354.0,10.7
2016-01-01,male,chinese,33658.0,9.9
2017-01-01,male,chinese,32181.0,9.4
2018-01-01,male,chinese,29882.0,8.7
2019-01-01,male,chinese,30187.0,8.8
2020-01-01,male,chinese,26511.0,7.5
2021-01-01,male,chinese,22726.0,6.5
2022-01-01,male,chinese,20709.0,5.9
2000-01-01,female,chinese,55600.0,19.8
2001-01-01,female,chinese,45190.0,15.8
2002-01-01,female,chinese,46988.0,16.3
2003-01-01,female,chinese,44089.0,15.1
2004-01-01,female,chinese,42945.0,14.6
2005-01-01,female,chinese,42826.0,14.4
2006-01-01,female,chinese,41164.0,13.7
2007-01-01,female,chinese,41786.0,13.8
2008-01-01,female,chinese,41305.0,13.5
2009-01-01,female,chinese,39416.0,12.8
2010-01-01,female,chinese,35565.0,11.4
2011-01-01,female,chinese,36875.0,11.8
2012-01-01,female,chinese,41077.0,13.0
2013-01-01,female,chinese,33643.0,10.6
2014-01-01,female,chinese,35690.0,11.2
2015-01-01,female,chinese,33631.0,10.5
2016-01-01,female,chinese,31916.0,9.9
2017-01-01,female,chinese,29913.0,9.2
2018-01-01,female,chinese,27884.0,8.6
2019-01-01,female,chinese,27891.0,8.5
2020-01-01,female,chinese,24776.0,7.3
2021-01-01,female,chinese,21107.0,6.2
2022-01-01,female,chinese,19540.0,5.8
2023-01-01,male,chinese,23216.0,6.6
2023-01-01,female,chinese,21602.0,6.4
2000-01-01,both,indian,35329.0,20.8
2001-01-01,both,indian,32947.0,19.1
2002-01-01,both,indian,32610.0,18.7
2003-01-01,both,indian,31444.0,17.7
2004-01-01,both,indian,30820.0,17.2
2005-01-01,both,indian,29326.0,16.1
2006-01-01,both,indian,28695.0,15.6
2007-01-01,both,indian,29086.0,15.6
2008-01-01,both,indian,28683.0,15.2
2009-01-01,both,indian,27600.0,14.5
2010-01-01,both,indian,27556.0,14.3
2011-01-01,both,indian,26823.0,13.8
2012-01-01,both,indian,25840.0,13.2
2013-01-01,both,indian,24378.0,12.4
2014-01-01,both,indian,24301.0,12.3
2015-01-01,both,indian,23224.0,11.7
2016-01-01,both,indian,22055.0,11.1
2017-01-01,both,indian,21973.0,11.0
2018-01-01,both,indian,21586.0,10.7
2019-01-01,both,indian,20810.0,10.3
2020-01-01,both,indian,20458.0,10.2
2021-01-01,both,indian,17956.0,9.0
2022-01-01,both,indian,17439.0,8.7
2023-01-01,both,indian,20064.0,10.0
2000-01-01,male,indian,18146.0,21.3
2001-01-01,male,indian,16668.0,19.3
2002-01-01,male,indian,16782.0,19.1
2003-01-01,male,indian,16080.0,18.1
2004-01-01,male,indian,15712.0,17.4
2005-01-01,male,indian,15052.0,16.5
2006-01-01,male,indian,14721.0,15.9
2007-01-01,male,indian,14957.0,16.0
2008-01-01,male,indian,14625.0,15.5
2009-01-01,male,indian,14131.0,14.8
2010-01-01,male,indian,14019.0,14.5
2011-01-01,male,indian,13711.0,14.1
2012-01-01,male,indian,13214.0,13.5
2013-01-01,male,indian,12418.0,12.6
2014-01-01,male,indian,12525.0,12.7
2015-01-01,male,indian,11886.0,12.0
2016-01-01,male,indian,11313.0,11.4
2017-01-01,male,indian,11277.0,11.3
2018-01-01,male,indian,10886.0,10.9
2019-01-01,male,indian,10587.0,10.6
2020-01-01,male,indian,10502.0,10.4
2021-01-01,male,indian,9080.0,9.0
2022-01-01,male,indian,8921.0,8.9
2000-01-01,female,indian,17183.0,20.3
2001-01-01,female,indian,16279.0,19.0
2002-01-01,female,indian,15828.0,18.2
2003-01-01,female,indian,15364.0,17.4
2004-01-01,female,indian,15108.0,16.9
2005-01-01,female,indian,14274.0,15.7
2006-01-01,female,indian,13974.0,15.2
2007-01-01,female,indian,14129.0,15.2
2008-01-01,female,indian,14058.0,15.0
2009-01-01,female,indian,13469.0,14.2
2010-01-01,female,indian,13537.0,14.1
2011-01-01,female,indian,13112.0,13.6
2012-01-01,female,indian,12626.0,13.0
2013-01-01,female,indian,11960.0,12.2
2014-01-01,female,indian,11776.0,11.9
2015-01-01,female,indian,11338.0,11.4
2016-01-01,female,indian,10742.0,10.7
2017-01-01,female,indian,10696.0,10.6
2018-01-01,female,indian,10700.0,10.6
2019-01-01,female,indian,10223.0,10.1
2020-01-01,female,indian,9956.0,10.0
2021-01-01,female,indian,8876.0,8.9
2022-01-01,female,indian,8518.0,8.6
2023-01-01,male,indian,10262.0,10.2
2023-01-01,female,indian,9802.0,9.8
2000-01-01,both,other_citizen,11774.0,42.9
2001-01-01,both,other_citizen,11731.0,42.5
2002-01-01,both,other_citizen,9064.0,32.8
2003-01-01,both,other_citizen,12228.0,44.1
2004-01-01,both,other_citizen,12899.0,46.5
2005-01-01,both,other_citizen,11831.0,42.6
2006-01-01,both,other_citizen,11691.0,42.0
